Chad,Office Supplies,L,292494523,651.21,524.96,2353920.64
Latvia,Beverages,C,361825549,47.45,31.79,34174.25
Pakistan,Vegetables,C,141515767,154.06,90.93,592408.95
Democratic Republic of the Congo,Household,C,500364005,668.27,502.54,3861014.82
Czech Republic,Beverages,C,127481591,47.45,31.79,110978.89
South Africa,Beverages,H,482292354,47.45,31.79,314085.2
Laos,Vegetables,L,844532620,154.06,90.93,438737.25
China,Baby Food,C,564251220,255.28,159.42,530868.6
Eritrea,Meat,L,411809480,421.89,364.69,886561.39
Haiti,Office Supplies,C,327881228,651.21,524.96,3253177.12
Zambia,Cereal,M,773452794,205.7,117.11,84787.64
Bosnia and Herzegovina,Baby Food,M,479823005,255.28,159.42,1457895.9
Germany,Office Supplies,C,498603188,651.21,524.96,3474185.28
India,Household,C,151717174,668.27,502.54,2682558.52
Algeria,Clothes,C,181401288,109.28,35.84,341447.68
Palau,Snacks,L,500204360,152.58,97.44,42971.04
Cuba,Beverages,H,640987718,47.45,31.79,43393.35
Vatican City,Beverages,L,206925189,47.45,31.79,83194.43
Lebanon,Personal Care,H,221503102,81.73,56.67,370905.15
Lithuania,Snacks,H,878520286,152.58,97.44,246523.2
Mauritius ,Cosmetics,H,192088067,437.2,263.33,522183.39
Ukraine,Office Supplies,C,746630275,651.21,524.96,1755991.2
Russia,Snacks,L,246883237,152.58,97.44,690947.04
Japan,Cosmetics,H,967895781,437.2,263.33,190914.25
Russia,Meat,L,305029237,421.89,364.69,1379986.96
Liechtenstein,Vegetables,L,223957431,154.06,90.93,257786.55
Greece,Clothes,C,510666692,109.28,35.84,232135.68
Albania,Baby Food,C,121455848,255.28,159.42,54043.38
Federated States of Micronesia,Baby Food,M,332936227,255.28,159.42,332071.86
Dominica,Beverages,H,692031657,47.45,31.79,203487.79
Andorra,Office Supplies,M,365978467,651.21,524.96,8399.36
Switzerland,Personal Care,M,392325484,81.73,56.67,378782.28
Trinidad and Tobago,Baby Food,L,528934037,255.28,159.42,349289.22
San Marino,Vegetables,H,603977954,154.06,90.93,850468.29
Nicaragua,Fruits,L,965943562,9.33,6.92,20898.4
Azerbaijan,Cosmetics,M,233629691,437.2,263.33,1335609.76
Bangladesh,Personal Care,L,246147668,81.73,56.67,533831.4
Serbia,Beverages,H,212921321,47.45,31.79,222688.95
Mauritius ,Fruits,H,763686978,9.33,6.92,5556.76
Jamaica,Baby Food,H,798493468,255.28,159.42,130086.72
Italy,Cereal,H,637702119,205.7,117.11,1063710.13
Bhutan,Clothes,L,671986758,109.28,35.84,167372.8
Turkey,Clothes,L,912333714,109.28,35.84,310912
Bulgaria,Cosmetics,L,540041816,437.2,263.33,2430272.57
Pakistan,Household,M,156722390,668.27,502.54,3262992.22
Poland,Cereal,C,434299266,205.7,117.11,896945.49
France,Baby Food,M,765008771,255.28,159.42,310869
Jamaica,Baby Food,C,611399734,255.28,159.42,896418.66
Australia,Personal Care,H,856333482,81.73,56.67,394536.54
Somalia,Fruits,C,652983844,9.33,6.92,8892.2
Slovenia,Cosmetics,M,574837148,437.2,263.33,1564443.53
Samoa ,Clothes,C,365692222,109.28,35.84,190310.4
South Africa,Cereal,M,289660394,205.7,117.11,679472.22
Ghana,Vegetables,L,681165492,154.06,90.93,78290.73
Sri Lanka,Office Supplies,M,594943845,651.21,524.96,3128236.64
Guinea,Meat,C,956044280,421.89,364.69,1313978.07
Spain,Fruits,L,509828126,9.33,6.92,57622.84
Moldova ,Personal Care,M,771969211,81.73,56.67,96282.33
Dominican Republic,Cereal,L,178453862,205.7,117.11,857010.98
Luxembourg,Personal Care,L,835580909,81.73,56.67,329479.38
Kuwait,Office Supplies,L,869961678,651.21,524.96,5169806.08
Saint Lucia,Fruits,C,278519999,9.33,6.92,63055.04
Georgia,Vegetables,H,478492200,154.06,90.93,484656.9
Bosnia and Herzegovina,Cosmetics,H,257427108,437.2,263.33,1910985.81
Iceland,Snacks,H,723186051,152.58,97.44,553264.32
Mauritius ,Personal Care,M,353942859,81.73,56.67,476708.04
Malawi,Office Supplies,C,848183858,651.21,524.96,2785962.72
Seychelles ,Meat,C,374707877,421.89,364.69,1182689.67
Montenegro,Personal Care,L,322626245,81.73,56.67,64037.1
Germany,Household,L,351362788,668.27,502.54,2468476.48
Estonia,Meat,H,640653836,421.89,364.69,934335.78
Serbia,Clothes,M,540548217,109.28,35.84,325570.56
Madagascar,Baby Food,C,821407258,255.28,159.42,241680.72
Benin,Beverages,H,523904788,47.45,31.79,124743.96
Hungary,Clothes,M,109027135,109.28,35.84,86266.88
Cuba,Cosmetics,L,108073127,437.2,263.33,25016.35
Senegal,Fruits,H,672654092,9.33,6.92,14864.16
Algeria,Vegetables,M,224693858,154.06,90.93,69197.73
Bosnia and Herzegovina,Personal Care,M,406428754,81.73,56.67,8783.85
Antigua and Barbuda ,Baby Food,H,230407607,255.28,159.42,252840.12
Cambodia,Personal Care,H,129491746,81.73,56.67,472627.8
Oman,Vegetables,C,606854999,154.06,90.93,66833.55
United States of America,Baby Food,L,885983693,255.28,159.42,178231.56
Mauritania,Office Supplies,L,260676658,651.21,524.96,4656920.16
Central African Republic,Cosmetics,H,345045220,437.2,263.33,1422771.99
Albania,Baby Food,H,123513209,255.28,159.42,1459968.36
Switzerland,Vegetables,M,900816953,154.06,90.93,55376.37
Ghana,Household,M,452005279,668.27,502.54,3648942.94
Austria,Vegetables,H,672439515,154.06,90.93,786544.5
Democratic Republic of the Congo,Household,L,827793490,668.27,502.54,675413.76
Dominican Republic,Clothes,L,704053533,109.28,35.84,141245.44
Mauritius ,Baby Food,H,157518470,255.28,159.42,329999.4
Libya,Cosmetics,C,464799630,437.2,263.33,893742.02
Samoa ,Office Supplies,M,272820842,651.21,524.96,1367520.8
Kuwait,Personal Care,H,548818433,81.73,56.67,364104.75
Hungary,Meat,C,530341231,421.89,364.69,3140345.59
Senegal,Beverages,C,875250566,47.45,31.79,157265.13
Moldova ,Personal Care,H,511720263,81.73,56.67,467640.84
Eritrea,Beverages,M,688236653,47.45,31.79,107291.25
Niger,Personal Care,C,923598563,81.73,56.67,124333.98
Saint Lucia,Snacks,C,356917321,152.58,97.44,840127.68
Sweden,Vegetables,H,897616755,154.06,90.93,327348
Jamaica,Baby Food,H,475433194,255.28,159.42,16260.84
Haiti,Vegetables,H,690415465,154.06,90.93,739624.62
Samoa ,Cosmetics,H,962924897,437.2,263.33,2562200.9
Dominican Republic,Snacks,M,783635318,152.58,97.44,385862.4
Tunisia ,Cereal,L,163533055,205.7,117.11,224851.2
Taiwan,Beverages,L,983916938,47.45,31.79,55378.18
Tunisia ,Cereal,H,246398293,205.7,117.11,419839.35
Sri Lanka,Office Supplies,C,422900950,651.21,524.96,2437914.24
Indonesia,Office Supplies,L,905661237,651.21,524.96,2173859.36
Ethiopia,Clothes,M,257227981,109.28,35.84,298547.2
Swaziland,Snacks,L,260462510,152.58,97.44,535920
Portugal,Fruits,L,968538653,9.33,6.92,6677.8
Hungary,Cereal,M,254942739,205.7,117.11,243237.47
Zimbabwe,Beverages,M,563473594,47.45,31.79,102141.27
Armenia,Personal Care,H,358242547,81.73,56.67,44485.95
North Korea,Meat,L,873673427,421.89,364.69,3003951.53
Burkina Faso,Meat,L,264502561,421.89,364.69,379277.6
India,Personal Care,L,355778777,81.73,56.67,96395.67
Sao Tome and Principe,Household,C,792863404,668.27,502.54,2389577.7
Armenia,Meat,C,391430270,421.89,364.69,645501.3
Georgia,Clothes,C,287465703,109.28,35.84,227368.96
Serbia,Cosmetics,M,787268531,437.2,263.33,2398409.64
Tuvalu,Cosmetics,C,917450082,437.2,263.33,716784.26
Barbados,Vegetables,L,674934184,154.06,90.93,625416.54
Mali,Cereal,L,576957166,205.7,117.11,386580.11
Central African Republic,Household,M,311067855,668.27,502.54,374894.84
Sri Lanka,Vegetables,H,985127580,154.06,90.93,909027.21
Bosnia and Herzegovina,Vegetables,C,177310168,154.06,90.93,806912.82
Netherlands,Household,M,486101949,668.27,502.54,3630348.96
Laos,Office Supplies,C,980301749,651.21,524.96,1011597.92
Honduras,Office Supplies,L,349020898,651.21,524.96,994799.2
Zambia,Household,M,951683223,668.27,502.54,1542295.26
Botswana,Snacks,L,268025052,152.58,97.44,333634.56
Bhutan,Household,C,348095214,668.27,502.54,4002228.56
Zimbabwe,Household,M,162255036,668.27,502.54,1872464.04
Lesotho,Personal Care,L,551178348,81.73,56.67,270655.92
Togo,Household,H,175851476,668.27,502.54,3625323.56
Australia,Meat,M,467573249,421.89,364.69,1520757.3
Luxembourg,Fruits,L,677954995,9.33,6.92,5563.68
Estonia,Fruits,H,128920543,9.33,6.92,64411.36
United Kingdom,Meat,H,462706220,421.89,364.69,1425208.52
Morocco,Vegetables,H,691860854,154.06,90.93,532486.08
United Kingdom,Office Supplies,M,349245774,651.21,524.96,4430662.4
Papua New Guinea,Beverages,H,838034808,47.45,31.79,62880.62
New Zealand,Personal Care,M,481714284,81.73,56.67,499602.72
Austria,Cosmetics,L,374083030,437.2,263.33,2195118.88
Saint Kitts and Nevis ,Vegetables,M,329252374,154.06,90.93,177222.57
Myanmar,Snacks,C,231646144,152.58,97.44,788971.68
Guatemala,Baby Food,M,486000669,255.28,159.42,1156273.26
Antigua and Barbuda ,Vegetables,C,667364776,154.06,90.93,629417.46
Iran,Vegetables,C,871099793,154.06,90.93,603866.13
Singapore,Cosmetics,H,362879550,437.2,263.33,784196.74
