,num__PassengerId,num__Pclass,num__Age,num__SibSp,num__Parch,num__Fare,onehotencoder__x0_female,onehotencoder__x0_male,onehotencoder__x1_C,onehotencoder__x1_Q,onehotencoder__x1_S
0,1.0,3.0,22.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
1,2.0,1.0,38.0,1.0,0.0,71.0,1.0,0.0,1.0,0.0,0.0
2,3.0,3.0,26.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
3,4.0,1.0,35.0,1.0,0.0,53.0,1.0,0.0,0.0,0.0,1.0
4,5.0,3.0,35.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
5,6.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0
6,7.0,1.0,54.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,1.0
7,8.0,3.0,2.0,3.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0
8,9.0,3.0,27.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0
9,10.0,2.0,14.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0
10,11.0,3.0,4.0,1.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0
11,12.0,1.0,58.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
12,13.0,3.0,20.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
13,14.0,3.0,39.0,1.0,5.0,31.0,0.0,1.0,0.0,0.0,1.0
14,15.0,3.0,14.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
15,16.0,2.0,55.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0
16,17.0,3.0,2.0,4.0,1.0,29.0,0.0,1.0,0.0,1.0,0.0
17,18.0,2.0,29.69911764705882,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0
18,19.0,3.0,31.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0
19,20.0,3.0,29.69911764705882,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0
20,21.0,2.0,35.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0
21,22.0,2.0,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0
22,23.0,3.0,15.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0
23,24.0,1.0,28.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,1.0
24,25.0,3.0,8.0,3.0,1.0,21.0,1.0,0.0,0.0,0.0,1.0
25,26.0,3.0,38.0,1.0,5.0,31.0,1.0,0.0,0.0,0.0,1.0
26,27.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
27,28.0,1.0,19.0,3.0,2.0,263.0,0.0,1.0,0.0,0.0,1.0
28,29.0,3.0,29.69911764705882,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
29,30.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
30,31.0,1.0,40.0,0.0,0.0,27.0,0.0,1.0,1.0,0.0,0.0
31,32.0,1.0,29.69911764705882,1.0,0.0,146.0,1.0,0.0,1.0,0.0,0.0
32,33.0,3.0,29.69911764705882,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
33,34.0,2.0,66.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0
34,35.0,1.0,28.0,1.0,0.0,82.0,0.0,1.0,1.0,0.0,0.0
35,36.0,1.0,42.0,1.0,0.0,52.0,0.0,1.0,0.0,0.0,1.0
36,37.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
37,38.0,3.0,21.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
38,39.0,3.0,18.0,2.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0
39,40.0,3.0,14.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0
40,41.0,3.0,40.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0
41,42.0,2.0,27.0,1.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0
42,43.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
43,44.0,2.0,3.0,1.0,2.0,41.0,1.0,0.0,1.0,0.0,0.0
44,45.0,3.0,19.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
45,46.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
46,47.0,3.0,29.69911764705882,1.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0
47,48.0,3.0,29.69911764705882,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
48,49.0,3.0,29.69911764705882,2.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0
49,50.0,3.0,18.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0
50,51.0,3.0,7.0,4.0,1.0,39.0,0.0,1.0,0.0,0.0,1.0
51,52.0,3.0,21.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
52,53.0,1.0,49.0,1.0,0.0,76.0,1.0,0.0,1.0,0.0,0.0
53,54.0,2.0,29.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
54,55.0,1.0,65.0,0.0,1.0,61.0,0.0,1.0,1.0,0.0,0.0
55,56.0,1.0,29.69911764705882,0.0,0.0,35.0,0.0,1.0,0.0,0.0,1.0
56,57.0,2.0,21.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0
57,58.0,3.0,28.5,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
58,59.0,2.0,5.0,1.0,2.0,27.0,1.0,0.0,0.0,0.0,1.0
59,60.0,3.0,11.0,5.0,2.0,46.0,0.0,1.0,0.0,0.0,1.0
60,61.0,3.0,22.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
61,62.0,1.0,38.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,1.0
62,63.0,1.0,45.0,1.0,0.0,83.0,0.0,1.0,0.0,0.0,1.0
63,64.0,3.0,4.0,3.0,2.0,27.0,0.0,1.0,0.0,0.0,1.0
64,65.0,1.0,29.69911764705882,0.0,0.0,27.0,0.0,1.0,1.0,0.0,0.0
65,66.0,3.0,29.69911764705882,1.0,1.0,15.0,0.0,1.0,1.0,0.0,0.0
66,67.0,2.0,29.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0
67,68.0,3.0,19.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
68,69.0,3.0,17.0,4.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0
69,70.0,3.0,26.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
70,71.0,2.0,32.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0
71,72.0,3.0,16.0,5.0,2.0,46.0,1.0,0.0,0.0,0.0,1.0
72,73.0,2.0,21.0,0.0,0.0,73.0,0.0,1.0,0.0,0.0,1.0
73,74.0,3.0,26.0,1.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0
74,75.0,3.0,32.0,0.0,0.0,56.0,0.0,1.0,0.0,0.0,1.0
75,76.0,3.0,25.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
76,77.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
77,78.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
78,79.0,2.0,0.83,0.0,2.0,29.0,0.0,1.0,0.0,0.0,1.0
79,80.0,3.0,30.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0
80,81.0,3.0,22.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0
81,82.0,3.0,29.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0
82,83.0,3.0,29.69911764705882,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
83,84.0,1.0,28.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,1.0
84,85.0,2.0,17.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0
85,86.0,3.0,33.0,3.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0
86,87.0,3.0,16.0,1.0,3.0,34.0,0.0,1.0,0.0,0.0,1.0
87,88.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
88,89.0,1.0,23.0,3.0,2.0,263.0,1.0,0.0,0.0,0.0,1.0
89,90.0,3.0,24.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
90,91.0,3.0,29.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
91,92.0,3.0,20.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
92,93.0,1.0,46.0,1.0,0.0,61.0,0.0,1.0,0.0,0.0,1.0
93,94.0,3.0,26.0,1.0,2.0,20.0,0.0,1.0,0.0,0.0,1.0
94,95.0,3.0,59.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
95,96.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
96,97.0,1.0,71.0,0.0,0.0,34.0,0.0,1.0,1.0,0.0,0.0
97,98.0,1.0,23.0,0.0,1.0,63.0,0.0,1.0,1.0,0.0,0.0
98,99.0,2.0,34.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0
99,100.0,2.0,34.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0
100,101.0,3.0,28.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
101,102.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
102,103.0,1.0,21.0,0.0,1.0,77.0,0.0,1.0,0.0,0.0,1.0
103,104.0,3.0,33.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
104,105.0,3.0,37.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
105,106.0,3.0,28.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
106,107.0,3.0,21.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
107,108.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
108,109.0,3.0,38.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
109,110.0,3.0,29.69911764705882,1.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0
110,111.0,1.0,47.0,0.0,0.0,52.0,0.0,1.0,0.0,0.0,1.0
111,112.0,3.0,14.5,1.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0
112,113.0,3.0,22.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
113,114.0,3.0,20.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0
114,115.0,3.0,17.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0
115,116.0,3.0,21.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
116,117.0,3.0,70.5,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
117,118.0,2.0,29.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,1.0
118,119.0,1.0,24.0,0.0,1.0,247.0,0.0,1.0,1.0,0.0,0.0
119,120.0,3.0,2.0,4.0,2.0,31.0,1.0,0.0,0.0,0.0,1.0
120,121.0,2.0,21.0,2.0,0.0,73.0,0.0,1.0,0.0,0.0,1.0
121,122.0,3.0,29.69911764705882,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
122,123.0,2.0,32.5,1.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0
123,124.0,2.0,32.5,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
124,125.0,1.0,54.0,0.0,1.0,77.0,0.0,1.0,0.0,0.0,1.0
125,126.0,3.0,12.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0
126,127.0,3.0,29.69911764705882,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
127,128.0,3.0,24.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
128,129.0,3.0,29.69911764705882,1.0,1.0,22.0,1.0,0.0,1.0,0.0,0.0
129,130.0,3.0,45.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
130,131.0,3.0,33.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
131,132.0,3.0,20.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
132,133.0,3.0,47.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0
133,134.0,2.0,29.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
134,135.0,2.0,25.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0
135,136.0,2.0,23.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0
136,137.0,1.0,19.0,0.0,2.0,26.0,1.0,0.0,0.0,0.0,1.0
137,138.0,1.0,37.0,1.0,0.0,53.0,0.0,1.0,0.0,0.0,1.0
138,139.0,3.0,16.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0
139,140.0,1.0,24.0,0.0,0.0,79.0,0.0,1.0,1.0,0.0,0.0
140,141.0,3.0,29.69911764705882,0.0,2.0,15.0,1.0,0.0,1.0,0.0,0.0
141,142.0,3.0,22.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
142,143.0,3.0,24.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0
143,144.0,3.0,19.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
144,145.0,2.0,18.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0
145,146.0,2.0,19.0,1.0,1.0,36.0,0.0,1.0,0.0,0.0,1.0
146,147.0,3.0,27.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
147,148.0,3.0,9.0,2.0,2.0,34.0,1.0,0.0,0.0,0.0,1.0
148,149.0,2.0,36.5,0.0,2.0,26.0,0.0,1.0,0.0,0.0,1.0
149,150.0,2.0,42.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0
150,151.0,2.0,51.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0
151,152.0,1.0,22.0,1.0,0.0,66.0,1.0,0.0,0.0,0.0,1.0
152,153.0,3.0,55.5,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
